ts_utc,message_id,seq,headline
2025-12-14T20:27:41.771000+00:00,1449860422260756520,1,test headline xxx
2025-12-07T23:58:42.470000+00:00,1447376810022277294,1,"JAPANESE CURRENT ACCOUNT NSA YEN ACTUAL 2,833.5B (FORECAST 3109.8B, PREVIOUS 4,483.3B) $MACRO"
2025-12-07T23:58:42.470000+00:00,1447376810022277294,2,"⚠️ BREAKING: JAPANESE GDP REV QOQ ANNUALISED ACTUAL -2.3% (FORECAST -2%, PREVIOUS -1.8%) $MACRO JAPANESE BANK LENDING YOY ACTUAL 4.2% (FORECAST -, PREVIOUS 4.1%) $MACRO"
2025-12-07T23:58:42.470000+00:00,1447376810022277294,3,"JAPANESE GDP REVISED QOQ ACTUAL -0.6% (FORECAST -0.5%, PREVIOUS -0.4%) $MACRO"
2025-12-08T07:02:03.823000+00:00,1447483351018504233,1,"GERMAN INDUSTRIAL PRODUCTION MOM ACTUAL 1.8% (FORECAST 0.3%, PREVIOUS 1.3%) $MACRO"
2025-12-08T07:04:10.396000+00:00,1447483881904144477,1,"GERMAN INDUSTRIAL PRODUCTION YOY SA ACTUAL 0.8% (FORECAST -0.4%, PREVIOUS -0.98%) $MACRO"
2025-12-08T13:23:51.859000+00:00,1447579434285535402,1,Trump: I will be doing a one-rule executive order this week on AI
2025-12-08T14:32:55.634000+00:00,1447596814537592983,1,MOO IMBALANCE S&P 500: -33.1 MLN NASDAQ 100: -17.9 MLN DOW 30: -1.9 MLN MAG 7: -6.6 MLN $MACRO
2025-12-08T18:01:04.704000+00:00,1447649197493846107,1,The US is to allow Nvidia H200 chip exports to China - Semafor.
2025-12-08T20:52:47.222000+00:00,1447692409386569911,1,MOC IMBALANCE S&P 500: 535.7 MLN NASDAQ 100: 782.1 MLN DOW 30: 100.8 MLN MAG 7: 435.6 MLN $MACRO
2025-12-08T21:33:19.522000+00:00,1447702611192053821,1,"Trump: I have informed China’s President Xi, that the United States will allow Nvidia to ship its H200 products to approved customers in China. 25% will be paid to the US. $NVDA"
2025-12-09T03:33:02.350000+00:00,1447793136134000772,1,"⚠️ BREAKING: RBA CASH RATE ACTUAL 3.6% (FORECAST 3.6%, PREVIOUS 3.60%) $MACRO"
2025-12-09T10:42:25.747000+00:00,1447901195652825180,1,China set to limit access to Nvidia’s H200 chips - FT $NVDA
2025-12-09T10:44:37.458000+00:00,1447901748088803331,1,Regulators in Beijing have been discussing ways to permit limited access to the H200 - FT. $NVDA
2025-12-09T14:34:23.028000+00:00,1447959568960458812,1,MOO IMBALANCE S&P 500: 11.2 MLN NASDAQ 100: -8.4 MLN DOW 30: 26.1 MLN MAG 7: -3.3 MLN $MACRO BoE's Dhingra: There is a backdrop of weak consumption and labor slowdown. BoE's Dhingra: I don't see the need for policy to be so restrictive.
2025-12-09T15:04:59.980000+00:00,1447967273695318038,1,"US JOLTS JOB OPENINGS ACTUAL 7.67M (FORECAST 7.117M, PREVIOUS 7.227M) $MACRO US LEADING INDEX CHANGE MOM ACTUAL -0.3% (FORECAST -, PREVIOUS -0.5%) $MACRO US JOLTS Job Openings October 2025 Report https://www.bls.gov/news.release/jolts.nr0.htm US JOLTS October 2025 Report https://www.bls.gov/news.release/pdf/jolts.pdf"
2025-12-09T15:07:17.279000+00:00,1447967849569325188,1,US JOLTS Job Openings 7.658 mln in September.
2025-12-09T20:52:47.047000+00:00,1448054796517904414,1,MOC IMBALANCE S&P 500: 1328.3 MLN NASDAQ 100: 863.4 MLN DOW 30: 409.5 MLN MAG 7: 526.5 MLN $MACRO
2025-12-09T23:52:42.408000+00:00,1448100075543855224,1,"JAPANESE PPI MOM ACTUAL 0.3% (FORECAST 0.3%, PREVIOUS 0.4%) $MACRO Japan November domestic CGPI 2.7 percent year over year BoJ according to source poll 2.7 percent Japan November domestic CGPI plus 0.3 percent month on month - BoJ According to source poll plus 0.3 percent"
2025-12-09T23:52:42.408000+00:00,1448100075543855224,2,"JAPANESE PPI YOY ACTUAL 2.7% (FORECAST 2.7%, PREVIOUS 2.7%) $MACRO"
2025-12-10T01:32:35.906000+00:00,1448125214096359598,1,"⚠️ BREAKING: CHINESE CPI YOY ACTUAL 0.7% (FORECAST 0.7%, PREVIOUS 0.2%) $MACRO China November CPI rises 0.7% from a year ago according to source poll 0.7% China November PPI rises 0.1 percent from previous month China November PPI down 2.2% from a year ago according to source poll down 2.0% China: November food consumer price index rises 0.2% year on year; non-food consumer price index rises 0.8% China November CPI -0.1% from previous month According to source poll +0.2%"
